Player - James moved from position 0 to 6 | Dice Value - 6
Player - Mike moved from position 0 to 5 | Dice Value - 5
Player - James moved from position 6 to 10 | Dice Value - 4
Player - Mike moved from position 5 to 8 | Dice Value - 3
Player - James moved from position 10 to 17 | Dice Value - 1
Player - Mike moved from position 8 to 13 | Dice Value - 5
Player - James moved from position 17 to 23 | Dice Value - 6
Player - Mike moved from position 13 to 15 | Dice Value - 2
Player - James moved from position 23 to 29 | Dice Value - 6
Player - Mike moved from position 15 to 20 | Dice Value - 5
Player - James moved from position 29 to 30 | Dice Value - 1
Player - Mike moved from position 20 to 23 | Dice Value - 3
Player - James moved from position 30 to 36 | Dice Value - 6
Player - Mike moved from position 23 to 27 | Dice Value - 4
Player - James moved from position 36 to 40 | Dice Value - 4
Player - Mike moved from position 27 to 31 | Dice Value - 4
Player - James moved from position 40 to 45 | Dice Value - 5
Player - Mike moved from position 31 to 36 | Dice Value - 5
Player - James moved from position 45 to 46 | Dice Value - 1
Player - Mike moved from position 36 to 41 | Dice Value - 5
Player - James moved from position 46 to 48 | Dice Value - 2
Player - Mike moved from position 41 to 46 | Dice Value - 5
Player - James moved from position 48 to 54 | Dice Value - 6
Player - Mike moved from position 46 to 51 | Dice Value - 5
Player - James moved from position 54 to 73 | Dice Value - 5
Player - Mike moved from position 51 to 56 | Dice Value - 5
Player - James moved from position 73 to 76 | Dice Value - 3
Player - Mike moved from position 56 to 58 | Dice Value - 2
Player - James moved from position 76 to 79 | Dice Value - 3
Player - Mike moved from position 58 to 64 | Dice Value - 6
Player - James moved from position 79 to 81 | Dice Value - 2
Player - Mike moved from position 64 to 67 | Dice Value - 3
Player - James moved from position 81 to 87 | Dice Value - 6
Player - Mike moved from position 67 to 12 | Dice Value - 4
Player - James moved from position 87 to 88 | Dice Value - 1
Player - Mike moved from position 12 to 16 | Dice Value - 4
Player - James moved from position 88 to 89 | Dice Value - 1
Player - Mike moved from position 16 to 18 | Dice Value - 2
Player - James moved from position 89 to 94 | Dice Value - 5
Player - Mike moved from position 18 to 20 | Dice Value - 2
Player - James moved from position 94 to 98 | Dice Value - 4
Player - Mike moved from position 20 to 21 | Dice Value - 1
Player - James moved from position 98 to 98 | Dice Value - 4
Player - Mike moved from position 21 to 25 | Dice Value - 4
Player - James moved from position 98 to 98 | Dice Value - 3
Player - Mike moved from position 25 to 27 | Dice Value - 2
Player - James moved from position 98 to 3 | Dice Value - 1
Player - Mike moved from position 27 to 29 | Dice Value - 2
Player - James moved from position 3 to 5 | Dice Value - 2
Player - Mike moved from position 29 to 30 | Dice Value - 1
Player - James moved from position 5 to 25 | Dice Value - 2
Player - Mike moved from position 30 to 35 | Dice Value - 5
Player - James moved from position 25 to 29 | Dice Value - 4
Player - Mike moved from position 35 to 37 | Dice Value - 2
Player - James moved from position 29 to 35 | Dice Value - 6
Player - Mike moved from position 37 to 40 | Dice Value - 3
Player - James moved from position 35 to 37 | Dice Value - 2
Player - Mike moved from position 40 to 45 | Dice Value - 5
Player - James moved from position 37 to 39 | Dice Value - 2
Player - Mike moved from position 45 to 50 | Dice Value - 5
Player - James moved from position 39 to 43 | Dice Value - 4
Player - Mike moved from position 50 to 52 | Dice Value - 2
Player - James moved from position 43 to 46 | Dice Value - 3
Player - Mike moved from position 52 to 58 | Dice Value - 6
Player - James moved from position 46 to 47 | Dice Value - 1
Player - Mike moved from position 58 to 73 | Dice Value - 1
Player - James moved from position 47 to 48 | Dice Value - 1
Player - Mike moved from position 73 to 77 | Dice Value - 4
Player - James moved from position 48 to 52 | Dice Value - 4
Player - Mike moved from position 77 to 82 | Dice Value - 5
Player - James moved from position 52 to 54 | Dice Value - 2
Player - Mike moved from position 82 to 83 | Dice Value - 1
Player - James moved from position 54 to 55 | Dice Value - 1
Player - Mike moved from position 83 to 89 | Dice Value - 6
Player - James moved from position 55 to 57 | Dice Value - 2
Player - Mike moved from position 89 to 94 | Dice Value - 5
Player - James moved from position 57 to 58 | Dice Value - 1
Player - Mike moved from position 94 to 98 | Dice Value - 4
Player - James moved from position 58 to 62 | Dice Value - 4
Player - Mike moved from position 98 to 98 | Dice Value - 4
Player - James moved from position 62 to 64 | Dice Value - 2
Player - Mike moved from position 98 to 98 | Dice Value - 3
Player - James moved from position 64 to 66 | Dice Value - 2
Player - Mike moved from position 98 to 98 | Dice Value - 4
Player - James moved from position 66 to 70 | Dice Value - 4
Player - Mike moved from position 98 to 98 | Dice Value - 4
Player - James moved from position 70 to 73 | Dice Value - 3
Player - Mike moved from position 98 to 98 | Dice Value - 5
Player - James moved from position 73 to 78 | Dice Value - 5
Player - Mike moved from position 98 to 100 | Dice Value - 2
Player - Mike  won the game!!!
